Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	C4GDT8	DNA-directed RNA polymerase subunit beta' OS=Shuttleworthia satelles DSM 14600 OX=626523 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.012397	134.821	5.861442565917969	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	X8H0Z9	DNA-directed RNA polymerase subunit beta' OS=Fusobacterium sp. CM22 OX=936563 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.011372	147.821	8.813926696777344	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	A5TS56	DNA-directed RNA polymerase subunit beta' OS=Fusobacterium nucleatum subsp. polymorphum ATCC 10953 OX=393480 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.011372	147.877	8.816062927246094	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	U7TMQ9	DNA-directed RNA polymerase subunit beta' OS=Fusobacterium nucleatum CTI-6 OX=1316587 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.011372	147.889	8.811790466308594	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	X7RUA8	DNA-directed RNA polymerase subunit beta' OS=Fusobacterium nucleatum 13_3C OX=1357398 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.011372	147.845	8.811790466308594	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	D6BIJ5	DNA-directed RNA polymerase subunit beta' OS=Fusobacterium nucleatum subsp. animalis D11 OX=556264 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.011372	147.996	8.935798645019531	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	X8I7T2	DNA-directed RNA polymerase subunit beta' OS=Fusobacterium sp. OBRC1 OX=1032505 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.011372	147.847	8.816062927246094	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	W7YH50	DNA-directed RNA polymerase subunit beta' OS=Paenibacillus pini JCM 16418 OX=1236976 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.012458	134.964	8.820335388183594	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	C0WZP8	DNA-directed RNA polymerase subunit beta' OS=Lactobacillus fermentum ATCC 14931 OX=525325 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.012438	134.433	6.737190246582031	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
2.-.-.-	2.7.-.-	2.7.7.-	2.7.7.6	C8NDS7	DNA-directed RNA polymerase subunit beta' OS=Granulicatella adiacens ATCC 49175 OX=638301 GN=rpoC PE=3 SV=1	root (No rank) [1]	0.012448	134.775	6.903175354003906	1	1	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
