Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified	E1LCR7	Uncharacterized protein OS=Veillonella atypica ACS-134-V-Col7a OX=866778 GN=HMPREF9684_1681 PE=4 SV=1	Veillonella (Genus) [29465]	0.22093	9.235	5.102012634277344	1	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	T0SZI9	Uncharacterized protein OS=Veillonella parvula HSIVP1 OX=1316254 GN=HSIVP1_35 PE=4 SV=1	Veillonella (Genus) [29465]	0.22093	9.249	5.102012634277344	1	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A239YSL6	Uncharacterized protein OS=Veillonella rodentium OX=248315 GN=SAMEA44547418_00655 PE=4 SV=1	Veillonella (Genus) [29465]	0.218391	9.491	5.492515563964844	1	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2I1THW5	Uncharacterized protein OS=Veillonella parvula OX=29466 GN=CYK26_00185 PE=4 SV=1	Veillonella (Genus) [29465]	0.22093	9.216	5.122520446777344	1	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139NDQ8	50S ribosomal protein L19 OS=Streptococcus gordonii OX=1302 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.059	10.931251525878906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139MU29	50S ribosomal protein L19 OS=Streptococcus sp. DD04 OX=1776578 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.089	10.931251525878906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1X1JBM6	50S ribosomal protein L19 OS=Streptococcus oralis subsp. dentisani OX=1458253 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.154	10.769538879394531	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0T8ES04	50S ribosomal protein L19 OS=Streptococcus pneumoniae OX=1313 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.142	10.931251525878906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2CEZ7	50S ribosomal protein L19 OS=Streptococcus cristatus OX=45634 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.059	10.931251525878906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	F9HIG6	50S ribosomal protein L19 OS=Streptococcus sp. oral taxon 056 str. F0418 OX=904294 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.045	10.931251525878906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0F2CXG0	50S ribosomal protein L19 OS=Streptococcus oralis subsp. oralis OX=1891914 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.128	10.931251525878906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A139RG96	50S ribosomal protein L19 OS=Streptococcus oralis OX=1303 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.155	10.950370788574219	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	F2CCS0	50S ribosomal protein L19 OS=Streptococcus sanguinis SK408 OX=888818 GN=argB PE=3 SV=1	root (No rank) [1]	0.204724	14.385	10.984657287597656	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2I1ZCV3	50S ribosomal protein L19 OS=Streptococcus salivarius OX=1304 GN=rplS PE=3 SV=1	root (No rank) [1]	0.226087	13.06	10.931251525878906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	F0IV75	50S ribosomal protein L19 OS=Streptococcus sanguinis SK160 OX=888812 GN=argB2 PE=3 SV=1	root (No rank) [1]	0.204724	14.401	10.816749572753906	2	4	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
