Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified	A0A095XUI0	3-hydroxybutyryl-CoA dehydrogenase OS=Fusobacterium periodonticum 2_1_31 OX=469599 GN=FSAG_000351 PE=4 SV=1	root (No rank) [1]	0.043011	29.95	6.019950866699219	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A246EEG4	3-hydroxybutyryl-CoA dehydrogenase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CA839_03170 PE=4 SV=1	root (No rank) [1]	0.043011	29.951	5.909507751464844	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1F0E2C6	3-hydroxybutyryl-CoA dehydrogenase OS=Fusobacterium sp. HMSC064B11 OX=1739543 GN=HMPREF3051_05370 PE=4 SV=1	root (No rank) [1]	0.043011	29.96	6.019950866699219	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6B103	3-hydroxybutyryl-CoA dehydrogenase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CA840_09645 PE=4 SV=1	root (No rank) [1]	0.043011	30.006	6.153678894042969	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6B979	3-hydroxybutyryl-CoA dehydrogenase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CA836_11340 PE=4 SV=1	root (No rank) [1]	0.043011	29.975	5.909507751464844	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	X7S4R2	Uncharacterized protein OS=Fusobacterium nucleatum 13_3C OX=1357398 GN=HMPREF2085_01041 PE=4 SV=1	root (No rank) [1]	0.043011	29.99	6.019950866699219	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	D4CYK0	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain protein OS=Fusobacterium periodonticum ATCC 33693 OX=546275 GN=FUSPEROL_02515 PE=4 SV=1	root (No rank) [1]	0.043011	29.962	6.019950866699219	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2G9E5G5	Uncharacterized protein OS=Fusobacterium periodonticum OX=860 GN=CTM65_09135 PE=4 SV=1	root (No rank) [1]	0.040767	294.904	5.072212219238281	5	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6BT55	Uncharacterized protein OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CBG54_10660 PE=4 SV=1	root (No rank) [1]	0.040767	294.964	5.139396667480469	5	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6CE02	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CBG56_02670 PE=4 SV=1	root (No rank) [1]	0.115596	61.935	5.718208312988281	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6CA53	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CBG54_11325 PE=4 SV=1	root (No rank) [1]	0.115596	61.937	5.505226135253906	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A095WJB4	Tryptophanase OS=Fusobacterium periodonticum 2_1_31 OX=469599 GN=FSAG_001340 PE=4 SV=1	root (No rank) [1]	0.115596	61.934	5.584159851074219	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A246EI14	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CA839_10330 PE=4 SV=1	root (No rank) [1]	0.115596	61.965	5.726325988769531	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3LZ54	Tryptophanase OS=Fusobacterium periodonticum OX=860 GN=CTM64_07275 PE=4 SV=1	root (No rank) [1]	0.115596	61.881	5.516548156738281	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A241Q1V8	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CBG61_07095 PE=4 SV=1	root (No rank) [1]	0.115596	61.994	5.570701599121094	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A5TRW0	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum ATCC 10953 OX=393480 GN=tnaA PE=4 SV=1	root (No rank) [1]	0.115596	61.906	5.641944885253906	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	X8GYL8	Beta-eliminating lyase OS=Fusobacterium sp. CM22 OX=936563 GN=HMPREF1500_0464 PE=4 SV=1	root (No rank) [1]	0.115596	61.907	5.718208312988281	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1Z3CJE0	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CBG50_10025 PE=4 SV=1	root (No rank) [1]	0.115596	61.905	5.799171447753906	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6C9H1	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CBG59_04465 PE=4 SV=1	root (No rank) [1]	0.115596	61.936	5.641944885253906	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0S2ZHI4	Tryptophanase OS=Fusobacterium hwasookii ChDC F300 OX=1307444 GN=RN97_08925 PE=4 SV=1	root (No rank) [1]	0.115596	61.965	5.505226135253906	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0S1YXI4	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=RN93_00745 PE=4 SV=1	root (No rank) [1]	0.115596	61.928	5.455451965332031	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3PWZ1	Tryptophanase OS=Fusobacterium periodonticum OX=860 GN=CTN00_04125 PE=4 SV=1	root (No rank) [1]	0.115596	62.01	5.584159851074219	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3NXC6	Tryptophanase OS=Fusobacterium periodonticum OX=860 GN=CTM72_09925 PE=4 SV=1	root (No rank) [1]	0.115596	61.98	5.584159851074219	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6AXZ5	Uncharacterized protein OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CA836_04830 PE=4 SV=1	root (No rank) [1]	0.031359	294.795	5.091224670410156	4	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
