Level 1	Level 2	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Technical term	Complete proteome	X7S4R2	Uncharacterized protein OS=Fusobacterium nucleatum 13_3C OX=1357398 GN=HMPREF2085_01041 PE=4 SV=1	root (No rank) [1]	0.043011	29.99	6.019950866699219	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D4CYK0	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain protein OS=Fusobacterium periodonticum ATCC 33693 OX=546275 GN=FUSPEROL_02515 PE=4 SV=1	root (No rank) [1]	0.043011	29.962	6.019950866699219	1	11	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	A5TRW0	Tryptophanase OS=Fusobacterium nucleatum subsp. polymorphum ATCC 10953 OX=393480 GN=tnaA PE=4 SV=1	root (No rank) [1]	0.115596	61.906	5.641944885253906	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	X8GYL8	Beta-eliminating lyase OS=Fusobacterium sp. CM22 OX=936563 GN=HMPREF1500_0464 PE=4 SV=1	root (No rank) [1]	0.115596	61.907	5.718208312988281	4	10	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D6KPX2	Uncharacterized protein OS=Veillonella sp. 6_1_27 OX=450749 GN=HMPREF0874_01009 PE=4 SV=1	root (No rank) [1]	0.256757	8.105	6.043235778808594	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	W1WXZ3	Uncharacterized protein OS=Veillonella sp. DORA_A_3_16_22 OX=1403932 GN=Q620_VSAC00119G0001 PE=4 SV=1	root (No rank) [1]	0.202128	10.257	5.614707946777344	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D6BHC3	Tryptophanase OS=Fusobacterium nucleatum subsp. animalis D11 OX=556264 GN=PSAG_01606 PE=4 SV=1	root (No rank) [1]	0.093578	61.87	5.641090393066406	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D6LHH1	Tryptophan 2,3-dioxygenase OS=Fusobacterium periodonticum 1_1_41FAA OX=469621 GN=HMPREF0400_01179 PE=4 SV=1	root (No rank) [1]	0.093578	62.009	5.518791198730469	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	C7XS20	Uncharacterized protein OS=Fusobacterium nucleatum subsp. vincentii 3_1_36A2 OX=469604 GN=HMPREF0946_01787 PE=4 SV=1	root (No rank) [1]	0.093578	61.932	5.380043029785156	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	U7T457	Tryptophanase OS=Fusobacterium nucleatum CTI-5 OX=1316586 GN=HMPREF1766_00262 PE=4 SV=1	root (No rank) [1]	0.093578	61.852	5.588432312011719	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	F9EL54	Tryptophan 2,3-dioxygenase OS=Fusobacterium nucleatum subsp. animalis ATCC 51191 OX=997347 GN=HMPREF9094_0658 PE=4 SV=1	root (No rank) [1]	0.093578	61.938	5.504371643066406	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	R5WYY1	Tryptophanase OS=Fusobacterium sp. CAG:649 OX=1262900 GN=BN748_00458 PE=4 SV=1	root (No rank) [1]	0.093578	61.897	5.521568298339844	3	6	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	G6C314	Uncharacterized protein OS=Fusobacterium sp. oral taxon 370 str. F0437 OX=861452 GN=HMPREF9093_00955 PE=3 SV=1	root (No rank) [1]	0.068862	36.477	5.819572448730469	1	5	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Technical term	Complete proteome	D5RE87	Glutamate dehydrogenase OS=Fusobacterium nucleatum subsp. nucleatum (strain ATCC 23726 / VPI 4351) OX=525283 GN=gluD PE=3 SV=1	root (No rank) [1]	0.054118	46.43	6.429679870605469	1	5	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
