Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified	X8I0E8	Adhesion protein FadA OS=Fusobacterium sp. CM1 OX=936561 GN=HMPREF1498_0962 PE=4 SV=1	Fusobacterium (Genus) [848]	0.124031	14.382	4.849510192871094	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	Q4U4F0	Adhesin A OS=Fusobacterium nucleatum OX=851 GN=fadA PE=4 SV=1	Fusobacterium (Genus) [848]	0.124031	14.369	4.773139953613281	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3LX02	Adhesion protein FadA OS=Fusobacterium periodonticum OX=860 GN=CTM64_03235 PE=4 SV=1	Fusobacterium (Genus) [848]	0.125	14.426	4.773139953613281	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	Q4U4E7	Adhesin A OS=Fusobacterium periodonticum OX=860 GN=fadA PE=4 SV=1	Fusobacterium (Genus) [848]	0.125	14.411	4.831886291503906	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2B7YJB4	Adhesion protein FadA OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=RN96_08990 PE=4 SV=1	Fusobacterium (Genus) [848]	0.124031	14.469	4.805824279785156	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0S2ZCV9	Adhesion protein FadA OS=Fusobacterium hwasookii ChDC F300 OX=1307444 GN=RN97_00590 PE=4 SV=1	Fusobacterium (Genus) [848]	0.124031	14.439	4.849510192871094	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	R5X0P3	Adhesin A OS=Fusobacterium sp. CAG:649 OX=1262900 GN=BN748_00209 PE=4 SV=1	Fusobacterium (Genus) [848]	0.124031	14.368	4.849510192871094	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	D6LFD6	Adhesion protein FadA OS=Fusobacterium periodonticum 1_1_41FAA OX=469621 GN=HMPREF0400_00426 PE=4 SV=1	Fusobacterium (Genus) [848]	0.125	14.426	4.773139953613281	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1Z3CES9	Adhesion protein FadA OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CBG50_01640 PE=4 SV=1	Fusobacterium (Genus) [848]	0.124031	14.429	4.756156921386719	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	G6C5U7	Adhesion protein FadA OS=Fusobacterium sp. oral taxon 370 str. F0437 OX=861452 GN=HMPREF9093_01944 PE=4 SV=1	Fusobacterium (Genus) [848]	0.125	14.354	4.831886291503906	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
