Level 1	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified	U7TU37	Phosphate acetyltransferase OS=Fusobacterium nucleatum CTI-6 OX=1316587 GN=HMPREF1767_01399 PE=4 SV=1	root (No rank) [1]	0.137725	35.785	7.580894470214844	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A1Z3CFM8	Phosphate acetyltransferase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	36.044	7.577690124511719	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	X7RY45	Phosphate acetyltransferase OS=Fusobacterium nucleatum 13_3C OX=1357398 GN=HMPREF2085_01237 PE=4 SV=1	root (No rank) [1]	0.137725	35.683	7.580894470214844	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A095XV55	Phosphate acetyltransferase OS=Fusobacterium periodonticum 2_1_31 OX=469599 GN=FSAG_000245 PE=4 SV=1	root (No rank) [1]	0.137725	35.689	7.558784484863281	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3P8M9	Phosphate acetyltransferase OS=Fusobacterium periodonticum OX=860 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	36.045	7.555580139160156	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3PT61	Phosphate acetyltransferase OS=Fusobacterium periodonticum OX=860 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	36.046	7.558784484863281	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3PD57	Phosphate acetyltransferase OS=Fusobacterium periodonticum OX=860 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	36.017	7.552268981933594	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	D6LG76	Phosphate acetyltransferase OS=Fusobacterium periodonticum 1_1_41FAA OX=469621 GN=HMPREF0400_00725 PE=4 SV=1	root (No rank) [1]	0.136499	36.043	7.555580139160156	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	D4CV25	Phosphate acetyltransferase OS=Fusobacterium periodonticum ATCC 33693 OX=546275 GN=pta PE=4 SV=1	root (No rank) [1]	0.137725	35.684	6.761756896972656	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	K1GIQ2	Phosphate acetyltransferase OS=Fusobacterium periodonticum D10 OX=620833 GN=FPOG_01290 PE=4 SV=1	root (No rank) [1]	0.137725	35.657	7.558784484863281	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2D3LWC7	Phosphate acetyltransferase OS=Fusobacterium periodonticum OX=860 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	36.002	7.555580139160156	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6APM5	Phosphate acetyltransferase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	36.098	7.577690124511719	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2C6CHU4	Phosphate acetyltransferase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	36.04	7.580894470214844	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0S2ZNZ0	Phosphotransacetylase OS=Fusobacterium hwasookii ChDC F174 OX=1307442 GN=RN87_08940 PE=4 SV=1	root (No rank) [1]	0.137725	35.806	7.580894470214844	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	X8HRP0	Phosphate acetyltransferase OS=Fusobacterium sp. OBRC1 OX=1032505 GN=pta PE=4 SV=1	root (No rank) [1]	0.137725	35.687	7.577690124511719	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0S2ZTH4	Phosphotransacetylase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=RN93_04110 PE=4 SV=1	root (No rank) [1]	0.137725	35.785	7.580894470214844	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A2G9EB19	Phosphate acetyltransferase OS=Fusobacterium periodonticum OX=860 GN=pta PE=4 SV=1	root (No rank) [1]	0.136499	35.988	7.555580139160156	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A246EEZ5	Phosphate acetyltransferase OS=Fusobacterium nucleatum subsp. polymorphum OX=76857 GN=CA839_04055 PE=4 SV=1	root (No rank) [1]	0.136499	36.142	7.580894470214844	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified	A0A0M4RZQ2	Phosphotransacetylase OS=Fusobacterium nucleatum subsp. nucleatum OX=76856 GN=RO03_05300 PE=4 SV=1	root (No rank) [1]	0.137725	35.714	7.600975036621094	2	13	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
