Level 1	Level 2	Level 3	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified			A0A0F3HQ99	60 kDa chaperonin OS=Streptococcus gordonii OX=1302 GN=groEL PE=3 SV=1	root (No rank) [1]	0.096296	56.852	4.639518737792969	3	16	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0M4K272	60 kDa chaperonin OS=Streptococcus gordonii OX=1302 GN=groEL PE=3 SV=1	root (No rank) [1]	0.096296	56.825	4.639518737792969	3	16	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A072EJ33	60 kDa chaperonin OS=Streptococcus equi subsp. ruminatorum CECT 5772 OX=1051981 GN=groL PE=3 SV=1	root (No rank) [1]	0.05915	56.925	4.699012756347656	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			C8NGQ8	60 kDa chaperonin OS=Granulicatella adiacens ATCC 49175 OX=638301 GN=groL PE=3 SV=1	root (No rank) [1]	0.059369	56.76	4.761283874511719	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1C2CWY3	60 kDa chaperonin OS=Streptococcus dysgalactiae subsp. equisimilis OX=119602 GN=groL PE=3 SV=1	root (No rank) [1]	0.05915	56.801	4.716957092285156	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A132Z3A5	60 kDa chaperonin OS=Enterococcus faecium OX=1352 GN=groEL PE=3 SV=1	root (No rank) [1]	0.05915	57.149	4.657463073730469	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A074IZP9	60 kDa chaperonin OS=Streptococcus salivarius OX=1304 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059369	56.847	4.665580749511719	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A123U8M5	60 kDa chaperonin OS=Streptococcus suis OX=1307 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	57.153	4.678611755371094	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081QI04	60 kDa chaperonin OS=Streptococcus mitis OX=28037 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	57.078	4.742698669433594	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081Q447	60 kDa chaperonin OS=Streptococcus mitis OX=28037 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	57.044	4.742698669433594	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F2CQ46	60 kDa chaperonin OS=Streptococcus gordonii OX=1302 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	56.749	4.650520324707031	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081SDB3	60 kDa chaperonin OS=Streptococcus mitis OX=28037 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.976	4.761497497558594	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F2CZU1	60 kDa chaperonin OS=Streptococcus oralis subsp. oralis OX=1891914 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	57.123	4.729347229003906	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A024DCK8	60 kDa chaperonin OS=Streptococcus sp. VT 162 OX=1419814 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	57.049	4.729347229003906	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A139MIV6	60 kDa chaperonin OS=Streptococcus sp. DD04 OX=1776578 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.763	4.703712463378906	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0E7S289	60 kDa chaperonin OS=Streptococcus pneumoniae OX=1313 GN=groEL_1 PE=3 SV=1	root (No rank) [1]	0.059259	57.088	4.766197204589844	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F3H9P8	60 kDa chaperonin OS=Streptococcus infantis OX=68892 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059369	56.86	4.700721740722656	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0Z8JQ27	60 kDa chaperonin OS=Streptococcus suis OX=1307 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	57.084	4.699653625488281	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0E2IR57	60 kDa chaperonin OS=Streptococcus intermedius ATCC 27335 OX=1316583 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.878	4.614952087402344	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			F0IP79	60 kDa chaperonin OS=Streptococcus sanguinis SK150 OX=888811 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.888	4.676582336425781	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1F1ES70	60 kDa chaperonin OS=Streptococcus sp. HMSC071H03 OX=1739391 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	56.842	4.629905700683594	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0Z8GRT6	60 kDa chaperonin OS=Streptococcus suis OX=1307 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	57.109	4.699653625488281	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081PTQ4	60 kDa chaperonin OS=Streptococcus mitis OX=28037 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	57.076	4.742698669433594	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A139N572	60 kDa chaperonin OS=Streptococcus cristatus OX=45634 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.835	4.681709289550781	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A095ZBZ7	60 kDa chaperonin OS=Peptoniphilus lacrimalis DNF00528 OX=1401070 GN=groL PE=3 SV=1	root (No rank) [1]	0.059369	56.854	4.696022033691406	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A9QLG4	60 kDa chaperonin OS=Streptococcus sinensis OX=176090 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.719	4.726570129394531	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0F2CKH9	60 kDa chaperonin OS=Streptococcus cristatus OX=45634 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	56.849	4.665260314941406	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0Z8HZB8	60 kDa chaperonin OS=Streptococcus suis OX=1307 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	57.039	4.673698425292969	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1S1H3R6	60 kDa chaperonin OS=Streptococcus sp. HMSC36C04 OX=1608868 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	56.885	4.629905700683594	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A239SV35	60 kDa chaperonin OS=Streptococcus merionis OX=400065 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	56.957	4.716743469238281	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0Z8CRG1	60 kDa chaperonin OS=Streptococcus suis OX=1307 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	56.983	4.712150573730469	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			F3UPM6	60 kDa chaperonin OS=Streptococcus sanguinis SK355 OX=888816 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.86	4.676582336425781	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A139QGL1	60 kDa chaperonin OS=Streptococcus constellatus OX=76860 GN=groL PE=3 SV=1	root (No rank) [1]	0.059259	56.851	4.655326843261719	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A081PP59	60 kDa chaperonin OS=Streptococcus mitis OX=28037 GN=groEL PE=3 SV=1	root (No rank) [1]	0.059259	57.038	4.742698669433594	2	14	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
