Level 1	Level 2	Level 3	Accession	Description	Taxonomy	SC	MW	pI	PepC	SpC	www	
Unclassified			T0T2A6	Elongation factor Tu OS=Veillonella parvula HSIVP1 OX=1316254 GN=tuf PE=3 SV=1	root (No rank) [1]	0.141304	40.185	4.672203063964844	3	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D6KQI8	Translation elongation factor Tu OS=Veillonella sp. 6_1_27 OX=450749 GN=HMPREF0874_01229 PE=4 SV=1	root (No rank) [1]	0.183746	31.017	4.612815856933594	3	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D6KQK6	Translation elongation factor Tu OS=Veillonella sp. 6_1_27 OX=450749 GN=HMPREF0874_01248 PE=4 SV=1	root (No rank) [1]	0.189091	30.042	4.555778503417969	3	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D6KM38	Translation elongation factor Tu (Fragment) OS=Veillonella sp. 3_1_44 OX=457416 GN=HMPREF0873_01875 PE=4 SV=1	root (No rank) [1]	0.242991	23.659	4.657569885253906	3	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			D6KM36	Translation elongation factor Tu (Fragment) OS=Veillonella sp. 3_1_44 OX=457416 GN=HMPREF0873_01873 PE=4 SV=1	root (No rank) [1]	0.237443	24.206	4.592628479003906	3	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A134BUB2	Putative translation elongation factor Tu (Fragment) OS=Veillonella parvula OX=29466 GN=HMPREF1865_01452 PE=4 SV=1	root (No rank) [1]	0.25	22.381	4.408912658691406	3	9	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0E2UD75	30S ribosomal protein S5 OS=Streptococcus parauberis OX=1348 GN=rpsE PE=3 SV=1	root (No rank) [1]	0.115854	17.003	9.842735290527344	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A139RP93	30S ribosomal protein S5 OS=Streptococcus oralis OX=1303 GN=rpsE PE=3 SV=1	root (No rank) [1]	0.115854	17.111	9.745002746582031	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1X1H984	30S ribosomal protein S5 OS=Streptococcus oralis subsp. oralis OX=1891914 GN=rpsE PE=3 SV=1	root (No rank) [1]	0.115854	17.018	9.516639709472656	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A1X0WPR7	30S ribosomal protein S5 OS=Streptococcus oralis subsp. tigurinus OX=1077464 GN=rpsE PE=3 SV=1	root (No rank) [1]	0.115854	17.06	9.516639709472656	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
Unclassified			A0A0E4CTT2	30S ribosomal protein S5 OS=Streptococcus varani OX=1608583 GN=rpsE PE=3 SV=1	root (No rank) [1]	0.115854	17.067	9.841773986816406	1	8	jar:file:/C:/Data/mpa-portable-1.8.0/mpa-portable-1.8.0.jar!/de/mpa/resources/icons/webresource16.png	
